probe,pressure_relative_ambient_Pa_mean,pressure_relative_ambient_Pa_rms_fluctuation,pressure_relative_ambient_Pa_minimum,pressure_relative_ambient_Pa_maximum,speed_m_s_mean,speed_m_s_rms_fluctuation,speed_m_s_minimum,speed_m_s_maximum
duct_edge_x-0.111,2.1006516959127355,0.10171846683856618,1.9592836647343648,2.3110682404415996,2.6492754918313373,0.005323488898031183,2.6365682499486294,2.6541351023233686
duct_wake_x-0.111,6.313297078585527,0.0769727172424275,6.1692012760415995,6.44021312116752,1.4118807995151839,0.06622496074054762,1.3035931914186214,1.5307510911874642
front_lip_wallside_x-0.111,-0.21890717251134914,0.05916887642510358,-0.31492429386769627,-0.1185226278864,2.5531956915136234,0.025533701437635715,2.5301464048590323,2.632029387732726
front_lip_outside_x-0.111,-0.116869193621613,0.022196409443773994,-0.15164946903195292,-0.0789349976304,0.25613987661728177,0.002413068416564739,0.2507723306078604,0.25863783064224016
hinge_underside_x-0.111,0.5997454254472147,0.008206847091770289,0.588598340874,0.6113401873848,3.7518679226842573,0.004242907918366119,3.747670114115523,3.759952457648895
hinge_exit_x-0.111,-0.14585284005094112,0.010797038842179169,-0.16232398796519998,-0.127261290114,2.1586052726525486,0.010322454602105409,2.1449035070557607,2.1726572370808444
hinge_wake_x-0.111,-0.09728914854012337,0.006896346612245365,-0.10673814884039999,-0.08194861341211841,2.4499748569223994,0.004417701944238677,2.437773082999743,2.462451731270524
duct_edge_x0.07,0.4358378478453161,0.06590011502642318,0.3383967471216,0.5460776819176895,1.9299537928516513,0.025391403603056913,1.8643947073994038,1.9517234469788332
duct_wake_x0.07,7.388959461208035,0.012874054514870373,7.372707003532799,7.407489703242,0.8687757391855377,0.021915372465158327,0.83224960795887,0.9073270669704938
front_lip_wallside_x0.07,-0.577666177789024,0.027759783070490388,-0.605054631474,-0.5226395690046305,2.3738244474629773,0.017455073040155183,2.352919761939624,2.403679435429742
front_lip_outside_x0.07,-0.15842532435002027,0.0027966515317454236,-0.16265746902960002,-0.14956049115839998,0.36461209720117777,0.0025468954038555987,0.3612437293187066,0.37006248765967525
hinge_underside_x0.07,-0.8132744602332505,0.007247743173608491,-0.8217648256475999,-0.8015558076984,3.6974041472997397,0.002266193127449179,3.69103551160061,3.700085024448709
hinge_exit_x0.07,-0.2991781380137328,0.06421904728142093,-0.400053603474,-0.18880882323839998,2.2918044120150345,0.07492495433329091,2.131321562401808,2.404656327602054
hinge_wake_x0.07,-0.07285079877667021,0.13812123954147662,-0.30585649329479997,0.11242901000879998,2.60113696810405,0.15246024381555537,2.3912831574533637,2.822024915540646
duct_edge_x0.111,3.031853431018884,0.006903437353092602,3.019309290996,3.0521732092415994,2.889423941670166,0.005632915932634676,2.8787174144056156,2.8988917768664684
duct_wake_x0.111,6.597303310951666,0.02667757264948668,6.56337009342,6.638836168670913,1.158255977681913,0.013747644510344569,1.133043463637922,1.1802446040227923
front_lip_wallside_x0.111,-0.35174519275985777,0.007610764698271913,-0.3607841675304,-0.33902511889919995,2.631363350347639,0.0038713495527538436,2.6229115128633396,2.6357184284539366
front_lip_outside_x0.111,-0.13233061238460728,0.0050917336119215085,-0.13838371647,-0.12379831988397717,0.2520321993960148,0.0009175707759082686,0.25117522409811516,0.25468147583386913
hinge_underside_x0.111,0.6468251513533227,0.0050756046110190444,0.6348336795216,0.6597737147643346,3.638464813282929,0.006320156646095662,3.630450964849725,3.650910654136867
hinge_exit_x0.111,-0.15056284408333329,0.0073151538882068766,-0.1616170309356,-0.13916918324879998,2.120680312365125,0.009806254004479513,2.108980869620308,2.136327610192158
hinge_wake_x0.111,-0.19069898041343614,0.015199086190400045,-0.2286622386204182,-0.1701336987516,2.349322353586464,0.0612528816912436,2.2834801204801227,2.4524638691301583
ambient_reference,0.0,0.0,0.0,0.0,0.13355492620601975,6.30114624795468e-05,0.133448056171555,0.1336662156296503
