element_number, cg_x, cg_y, cg_z, element_state, sensitivity_number, FI_max
6, 11.0, 1.0, 0.0, 0, 8.112254881065123e-10, 0
7, 13.0, 1.0, 0.0, 0, 8.512390419297114e-10, 0
8, 15.0, 1.0, 0.0, 0, 5.112257243482536e-10, 0
9, 17.0, 1.0, 0.0, 0, 3.2323880502262956e-10, 0
10, 19.0, 1.0, 0.0, 0, 2.1813137531883602e-10, 0
11, 21.0, 1.0, 0.0, 0, 1.509467013947801e-10, 0
12, 23.0, 1.0, 0.0, 0, 1.0519306652618589e-10, 0
13, 25.0, 1.0, 0.0, 0, 7.30042432790459e-11, 0
14, 27.0, 1.0, 0.0, 0, 5.01243146928447e-11, 0
15, 29.0, 1.0, 0.0, 0, 3.3844664903275904e-11, 0
16, 31.0, 1.0, 0.0, 0, 2.233412328562729e-11, 0
17, 33.0, 1.0, 0.0, 0, 1.4314285132380218e-11, 0
18, 35.0, 1.0, 0.0, 0, 8.85933756263658e-12, 0
19, 37.0, 1.0, 0.0, 0, 5.295960492087885e-12, 0
20, 39.0, 1.0, 0.0, 0, 3.0388653129684444e-12, 0
21, 41.0, 1.0, 0.0, 0, 1.727615167934804e-12, 0
22, 43.0, 1.0, 0.0, 0, 9.521901969241349e-13, 0
23, 45.0, 1.0, 0.0, 0, 5.521233296085921e-13, 0
24, 47.0, 1.0, 0.0, 0, 3.445491709688912e-13, 0
25, 49.0, 1.0, 0.0, 0, 2.3274591454933084e-13, 0
26, 51.0, 1.0, 0.0, 0, 1.7356738492263016e-13, 0
27, 53.0, 1.0, 0.0, 0, 1.2565328411605067e-13, 0
28, 55.0, 1.0, 0.0, 0, 8.626213650343815e-14, 0
29, 57.0, 1.0, 0.0, 0, 5.2419339150514324e-14, 0
30, 59.0, 1.0, 0.0, 0, 3.6707088621754174e-14, 0
36, 11.0, 3.0, 0.0, 0, 9.693175442287666e-10, 0
37, 13.0, 3.0, 0.0, 0, 7.550957697118818e-10, 0
38, 15.0, 3.0, 0.0, 0, 5.071440347793722e-10, 0
39, 17.0, 3.0, 0.0, 0, 3.4150446929775454e-10, 0
40, 19.0, 3.0, 0.0, 0, 2.391615865645501e-10, 0
41, 21.0, 3.0, 0.0, 0, 1.6970944848509763e-10, 0
42, 23.0, 3.0, 0.0, 0, 1.2042360505775612e-10, 0
43, 25.0, 3.0, 0.0, 0, 8.519236760741769e-11, 0
44, 27.0, 3.0, 0.0, 0, 5.995511317988393e-11, 0
45, 29.0, 3.0, 0.0, 0, 4.179595308064229e-11, 0
46, 31.0, 3.0, 0.0, 0, 2.8713545863245013e-11, 0
47, 33.0, 3.0, 0.0, 0, 1.934412705035405e-11, 0
48, 35.0, 3.0, 0.0, 0, 1.2725517493551552e-11, 0
49, 37.0, 3.0, 0.0, 0, 8.15594612927313e-12, 0
50, 39.0, 3.0, 0.0, 0, 5.08707636237381e-12, 0
51, 41.0, 3.0, 0.0, 0, 3.082116771919873e-12, 0
52, 43.0, 3.0, 0.0, 0, 1.8104669837911985e-12, 0
53, 45.0, 3.0, 0.0, 0, 1.0104866099555096e-12, 0
54, 47.0, 3.0, 0.0, 0, 5.51343279647418e-13, 0
55, 49.0, 3.0, 0.0, 0, 3.0766326504158684e-13, 0
56, 51.0, 3.0, 0.0, 0, 1.9734224981333906e-13, 0
57, 53.0, 3.0, 0.0, 0, 1.3450667480750327e-13, 0
58, 55.0, 3.0, 0.0, 0, 8.69594986633319e-14, 0
59, 57.0, 3.0, 0.0, 0, 5.839610195486427e-14, 0
60, 59.0, 3.0, 0.0, 0, 5.2035373487617536e-14, 0
66, 11.0, 5.0, 0.0, 0, 8.375165861194324e-10, 0
67, 13.0, 5.0, 0.0, 0, 7.215714204122554e-10, 0
68, 15.0, 5.0, 0.0, 0, 5.211610700042791e-10, 0
69, 17.0, 5.0, 0.0, 0, 3.804785354584873e-10, 0
70, 19.0, 5.0, 0.0, 0, 2.8231626536788736e-10, 0
71, 21.0, 5.0, 0.0, 0, 2.0779278207053594e-10, 0
72, 23.0, 5.0, 0.0, 0, 1.515712609452384e-10, 0
73, 25.0, 5.0, 0.0, 0, 1.1059422210109451e-10, 0
74, 27.0, 5.0, 0.0, 0, 8.084029611599223e-11, 0
75, 29.0, 5.0, 0.0, 0, 5.892686723108165e-11, 0
76, 31.0, 5.0, 0.0, 0, 4.259578139667448e-11, 0
77, 33.0, 5.0, 0.0, 0, 3.038537377407551e-11, 0
78, 35.0, 5.0, 0.0, 0, 2.1290579537215224e-11, 0
79, 37.0, 5.0, 0.0, 0, 1.4576771255859016e-11, 0
80, 39.0, 5.0, 0.0, 0, 9.688961021251025e-12, 0
81, 41.0, 5.0, 0.0, 0, 6.199842025320155e-12, 0
82, 43.0, 5.0, 0.0, 0, 3.782043592013336e-12, 0
83, 45.0, 5.0, 0.0, 0, 2.172961449551792e-12, 0
84, 47.0, 5.0, 0.0, 0, 1.1704143597003712e-12, 0
85, 49.0, 5.0, 0.0, 0, 5.890802809549951e-13, 0
86, 51.0, 5.0, 0.0, 0, 2.948614281542174e-13, 0
87, 53.0, 5.0, 0.0, 0, 1.5841244663478863e-13, 0
88, 55.0, 5.0, 0.0, 0, 1.0850981712682706e-13, 0
89, 57.0, 5.0, 0.0, 0, 8.659570972314045e-14, 0
90, 59.0, 5.0, 0.0, 0, 8.498673156245547e-14, 0
96, 11.0, 7.0, 0.0, 0, 9.36790648225632e-10, 0
97, 13.0, 7.0, 0.0, 0, 7.832923884930932e-10, 0
98, 15.0, 7.0, 0.0, 0, 5.339679851870654e-10, 0
99, 17.0, 7.0, 0.0, 0, 4.0592925751304776e-10, 0
100, 19.0, 7.0, 0.0, 0, 3.1686167680015754e-10, 0
101, 21.0, 7.0, 0.0, 0, 2.3997984311861333e-10, 0
102, 23.0, 7.0, 0.0, 0, 1.7961587956783664e-10, 0
103, 25.0, 7.0, 0.0, 0, 1.3533723501987514e-10, 0
104, 27.0, 7.0, 0.0, 0, 1.0251817836117073e-10, 0
105, 29.0, 7.0, 0.0, 0, 7.749775343680338e-11, 0
106, 31.0, 7.0, 0.0, 0, 5.8137836966031005e-11, 0
107, 33.0, 7.0, 0.0, 0, 4.311321776864003e-11, 0
108, 35.0, 7.0, 0.0, 0, 3.148150446258978e-11, 0
109, 37.0, 7.0, 0.0, 0, 2.2529757763936064e-11, 0
110, 39.0, 7.0, 0.0, 0, 1.5709799295515628e-11, 0
111, 41.0, 7.0, 0.0, 0, 1.0594372047800704e-11, 0
112, 43.0, 7.0, 0.0, 0, 6.8444115458504044e-12, 0
113, 45.0, 7.0, 0.0, 0, 4.184372767658213e-12, 0
114, 47.0, 7.0, 0.0, 0, 2.3884776734840536e-12, 0
