# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1.42361397e-05    	2.0851774964e-11
3.021280672e-05   	2.1260369753e-11
4.760630613e-05   	-2.2268719502e-11
6.498408032e-05   	-7.4351401907e-12
8.235100186e-05   	-7.1076524793e-12
9.971116817e-05   	-6.2528414927e-12
0.0001170668082   	-9.6341729353e-13
0.000134418889    	1.0596864369e-11
0.0001517676584   	1.4053170059e-11
0.0001691130021   	1.5994452724e-11
0.0001864546559   	1.2201412610e-11
0.000203792362    	1.2717451143e-11
0.0002211259607   	1.3766790374e-11
0.0002384554205   	1.2422389980e-11
0.0002557808549   	1.0823116546e-11
0.0002731025371   	4.1848954586e-12
0.0002904208275   	3.6658887866e-12
0.0003077361327   	3.5421736209e-12
0.0003250488946   	3.6244238947e-12
0.0003423595694   	3.6375914217e-12
0.0003596685799   	3.9031138618e-12
0.0003769763083   	3.9439297368e-12
0.0003942830905   	3.7953181179e-12
0.0004115892761   	4.2506145359e-12
0.0004288952128   	4.2665439324e-12
0.0004462012165   	5.1577840984e-12
0.0004635075574   	6.2566821434e-12
0.0004808144664   	5.0949988857e-12
0.0004981221232   	5.6476211647e-12
0.0005154307046   	8.1509216829e-12
0.0005327403474   	7.0393914086e-12
0.0005500511544   	7.9790606224e-12
0.0005673631974   	9.0867347826e-12
0.0005846765113   	7.9229353520e-12
0.0006019911017   	7.9450058593e-12
0.0006193069512   	9.2438220571e-12
0.0006366232668   	1.0553781238e-11
0.0006539321231   	1.0521241349e-11
0.0006712335908   	1.0501374117e-11
0.0006885277376   	9.7081077037e-12
0.0007058146424   	9.6883170025e-12
0.0007230943975   	9.7175148516e-12
0.0007403671081   	9.0565249798e-12
0.0007576328948   	8.4125138903e-12
0.0007748918905   	7.8696446874e-12
0.0007921442381   	7.0408907518e-12
0.0008093900883   	6.9089557480e-12
0.0008266296009   	6.8501783293e-12
0.0008438629421   	6.9061448319e-12
0.0008610902814   	6.8730741449e-12
0.0008783117946   	6.9103338232e-12
0.0008955276611   	6.9316335305e-12
0.0009127380584   	6.5413105569e-12
0.0009299431599   	6.4748580981e-12
0.0009471431335   	6.6186078292e-12
0.0009643381412   	6.6258192373e-12
0.0009815283419   	6.5285757215e-12
0.000998713892    	6.5188733318e-12
0.001015894945    	6.4141949944e-12
0.001033071651    	6.4127317416e-12
0.001050244151    	6.4525643129e-12
0.001067412582    	6.1309810310e-12
0.001084577073    	6.2412666317e-12
0.001101737746    	6.3761535385e-12
0.001118894717    	5.9831007472e-12
0.001136048091    	9.6433695176e-12
0.001153197968    	6.1603292996e-12
0.001170344442    	6.1299773715e-12
0.001187487599    	9.4655273203e-12
0.001204627517    	9.5045097687e-12
0.001221764263    	9.4280352703e-12
0.001238897899    	9.3473641642e-12
0.001256028481    	9.1970054348e-12
0.001273156058    	9.2467517204e-12
0.001290280671    	9.0057581211e-12
0.001307402357    	9.0955775491e-12
0.001324521145    	8.9657178708e-12
0.001341637064    	9.0444045753e-12
0.001358750136    	8.8284892092e-12
0.001375860385    	8.8818218324e-12
0.001392967828    	8.6743771210e-12
0.001410072482    	8.6314574330e-12
0.001427174363    	8.5627266318e-12
0.001444273483    	8.6461534953e-12
0.001461369858    	8.0999578111e-12
0.001478463499    	8.5034272917e-12
0.001495554417    	8.1229830669e-12
0.001512642622    	8.3291945118e-12
0.001529728118    	8.2325840345e-12
0.001546810911    	8.2271399979e-12
0.001563891002    	8.0627882300e-12
0.001580968395    	8.2087627575e-12
0.00159804309     	8.1267060681e-12
