# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sumMag(phi)
1.42361397e-05    	1.4996780599e-01
3.021280672e-05   	1.4999558663e-01
4.760630613e-05   	1.4999668215e-01
6.498408032e-05   	1.4999055778e-01
8.235100186e-05   	1.4998550384e-01
9.971116817e-05   	1.4998224510e-01
0.0001170668082   	1.4997995934e-01
0.000134418889    	1.4997817676e-01
0.0001517676584   	1.4997664196e-01
0.0001691130021   	1.4997526954e-01
0.0001864546559   	1.4997402369e-01
0.000203792362    	1.4997290911e-01
0.0002211259607   	1.4997191911e-01
0.0002384554205   	1.4997102019e-01
0.0002557808549   	1.4997022042e-01
0.0002731025371   	1.4996950162e-01
0.0002904208275   	1.4996885216e-01
0.0003077361327   	1.4996826461e-01
0.0003250488946   	1.4996773837e-01
0.0003423595694   	1.4996726486e-01
0.0003596685799   	1.4996683649e-01
0.0003769763083   	1.4996645014e-01
0.0003942830905   	1.4996610481e-01
0.0004115892761   	1.4996579638e-01
0.0004288952128   	1.4996551976e-01
0.0004462012165   	1.4996527759e-01
0.0004635075574   	1.4996506590e-01
0.0004808144664   	1.4996487642e-01
0.0004981221232   	1.4996471339e-01
0.0005154307046   	1.4996456937e-01
0.0005327403474   	1.4996444282e-01
0.0005500511544   	1.4996433344e-01
0.0005673631974   	1.4996423951e-01
0.0005846765113   	1.4996416043e-01
0.0006019911017   	1.4996409945e-01
0.0006193069512   	1.4996405023e-01
0.0006366232668   	1.4996401364e-01
0.0006539321231   	1.4996398907e-01
0.0006712335908   	1.4996399089e-01
0.0006885277376   	1.4996400528e-01
0.0007058146424   	1.4996403150e-01
0.0007230943975   	1.4996406824e-01
0.0007403671081   	1.4996411430e-01
0.0007576328948   	1.4996416981e-01
0.0007748918905   	1.4996423274e-01
0.0007921442381   	1.4996430742e-01
0.0008093900883   	1.4996439288e-01
0.0008266296009   	1.4996448360e-01
0.0008438629421   	1.4996458227e-01
0.0008610902814   	1.4996468922e-01
0.0008783117946   	1.4996480296e-01
0.0008955276611   	1.4996492258e-01
0.0009127380584   	1.4996504764e-01
0.0009299431599   	1.4996517816e-01
0.0009471431335   	1.4996531451e-01
0.0009643381412   	1.4996545635e-01
0.0009815283419   	1.4996560277e-01
0.000998713892    	1.4996575412e-01
0.001015894945    	1.4996591018e-01
0.001033071651    	1.4996607048e-01
0.001050244151    	1.4996623489e-01
0.001067412582    	1.4996640400e-01
0.001084577073    	1.4996657684e-01
0.001101737746    	1.4996675295e-01
0.001118894717    	1.4996693323e-01
0.001136048091    	1.4996711638e-01
0.001153197968    	1.4996730297e-01
0.001170344442    	1.4996749254e-01
0.001187487599    	1.4996768534e-01
0.001204627517    	1.4996788096e-01
0.001221764263    	1.4996807987e-01
0.001238897899    	1.4996828246e-01
0.001256028481    	1.4996848788e-01
0.001273156058    	1.4996869598e-01
0.001290280671    	1.4996890670e-01
0.001307402357    	1.4996911985e-01
0.001324521145    	1.4996933527e-01
0.001341637064    	1.4996955356e-01
0.001358750136    	1.4996977440e-01
0.001375860385    	1.4996999795e-01
0.001392967828    	1.4997022356e-01
0.001410072482    	1.4997045109e-01
0.001427174363    	1.4997068059e-01
0.001444273483    	1.4997091207e-01
0.001461369858    	1.4997114535e-01
0.001478463499    	1.4997138075e-01
0.001495554417    	1.4997161800e-01
0.001512642622    	1.4997185713e-01
0.001529728118    	1.4997209798e-01
0.001546810911    	1.4997234061e-01
0.001563891002    	1.4997258482e-01
0.001580968395    	1.4997283071e-01
0.00159804309     	1.4997307853e-01
0.001615115099    	1.4997332806e-01
0.001632157489    	1.4997357845e-01
0.001649167269    	1.4997382931e-01
0.001666153311    	1.4997408083e-01
0.001683123428    	1.4997433335e-01
0.001700066811    	1.4997458705e-01
0.001716975762    	1.4997484121e-01
0.001733857684    	1.4997509598e-01
0.001750719722    	1.4997535172e-01
0.001767541049    	1.4997560791e-01
0.001784321873    	1.4997586433e-01
