probe,pressure_relative_ambient_Pa_mean,pressure_relative_ambient_Pa_rms_fluctuation,pressure_relative_ambient_Pa_minimum,pressure_relative_ambient_Pa_maximum,speed_m_s_mean,speed_m_s_rms_fluctuation,speed_m_s_minimum,speed_m_s_maximum
duct_edge_x-0.111,4.16934618662073,0.14024226644009588,3.951827486364,4.425121107788119,2.404367152152843,0.04931194195184249,2.3030326536626906,2.463537050725292
duct_wake_x-0.111,6.532359029859991,0.027081136611701338,6.469860036825104,6.557695332048,1.4022116782699323,0.024676770708564322,1.3532218756803358,1.4353809632792696
front_lip_wallside_x-0.111,-0.0708733739661817,0.014867598319680375,-0.09563605335599998,-0.04119632609722693,3.0855632186659445,0.02254271658700242,3.040802865050154,3.121239722909744
front_lip_outside_x-0.111,-0.1637938056024359,0.02404200373422524,-0.20855361120621568,-0.12547644099599997,0.36871960874633214,0.010379009733983648,0.3496291634950162,0.385355855861182
hinge_underside_x-0.111,0.5382239555092121,0.06165838812816033,0.444149680692,0.618035995572,2.7714019890509154,0.052472301631516866,2.6826375874659814,2.8608417022899233
hinge_exit_x-0.111,-0.3478528641254685,0.0860392235112565,-0.4774747713959999,-0.2119057444750673,1.9618660576645792,0.012975344032260371,1.941644376038018,1.992849028218268
hinge_wake_x-0.111,-0.4955748968362121,0.10915183297185213,-0.6767824257959999,-0.3135917027586208,1.9999342433440834,0.17553533749362507,1.7204135077937324,2.2744349807295396
duct_edge_x0.07,4.470420525040679,0.19930208753569298,4.124180861964,4.8076275157413235,2.29275390333054,0.08009676484164548,2.146929434824081,2.4176086448297296
duct_wake_x0.07,6.67840763320129,0.0399738800414492,6.619320334227545,6.754461013164,1.269436746512434,0.025501518137414053,1.223186618377103,1.3105955645924336
front_lip_wallside_x0.07,-0.2769048623344654,0.03412810072188378,-0.306129913488,-0.19952842359599998,2.9321297485115805,0.055102366448731635,2.8337415364387284,3.021945260385246
front_lip_outside_x0.07,-0.14811789869871977,0.016077034789830098,-0.17166103278095546,-0.11609741523599998,0.21917057370370258,0.003984337930471432,0.21195066683486216,0.22559911969120672
hinge_underside_x0.07,-0.7493744834678984,0.04011675437367356,-0.802652711196,-0.660287769408158,3.0234833913749455,0.07038872186777513,2.8914547706875,3.134504165343214
hinge_exit_x0.07,-0.9393725616498133,0.09062412715652436,-1.1346968449378292,-0.8014095057959999,2.7770069119335488,0.0034206294383510418,2.7674487506614143,2.7818721678688223
hinge_wake_x0.07,-1.1374565808858867,0.13190301293575304,-1.24773897696,-0.7610687341408415,2.818220893863118,0.07557911216050985,2.5966896560062476,2.912673853387819
duct_edge_x0.111,4.3192385681235725,0.13531521197653285,4.128427526364,4.577763516546086,2.3675446831036093,0.05109121349260484,2.2647644636383193,2.43127072289615
duct_wake_x0.111,6.550786063301019,0.03348422077011967,6.497025432851619,6.610859654364,1.3915133017420203,0.026027801059417505,1.3405691710431067,1.4272441429438492
front_lip_wallside_x0.111,-0.02458301413136455,0.007017545107156615,-0.033100659936,-0.004272030316098784,3.088522464060987,0.027025077138671205,3.0428857042934334,3.13254370955816
front_lip_outside_x0.111,-0.1693274779379951,0.028425865678218688,-0.21354569937412368,-0.115688431116,0.36700419006087087,0.00968380080675019,0.348191169103434,0.38184356215610854
hinge_underside_x0.111,0.5449007089851409,0.05964135834302594,0.448275690372,0.6245379774406599,2.755376375848599,0.04980662418441148,2.671930243668826,2.8460933566859676
hinge_exit_x0.111,-0.344358100525915,0.0644526172090893,-0.434714955756,-0.2518700736163777,1.9520360946644082,0.0061802525641748325,1.9426746013420548,1.9631740700742226
hinge_wake_x0.111,-0.5380312709788558,0.10152949426017045,-0.7224747741959999,-0.35233244004486836,1.9182608905421268,0.14365459556060736,1.7195629651265323,2.1574420661571834
ambient_reference,0.0,0.0,0.0,0.0,0.021321150218996995,6.801928573765776e-05,0.021165840245776002,0.021392048674845454
