layer,z_mm,wall_mm2,skin_mm2,infill_envelope_mm2,polymer_mm2
1,0.2,573.1200000000006,1574.8799999999994,0.0,2148.0
2,0.4,573.1200000000006,1574.8799999999994,0.0,2148.0
3,0.6,573.1200000000006,1574.8799999999994,0.0,2148.0
4,0.8,573.1200000000006,1574.8799999999994,0.0,2148.0
5,1.0,573.1200000000006,1574.8799999999994,0.0,2148.0
6,1.2,573.1200000000006,5.119999999999436,1569.76,892.192
7,1.4,573.1200000000006,5.119999999999436,1569.76,892.192
8,1.6,573.1200000000006,5.119999999999436,1569.76,892.192
9,1.8,573.1200000000006,5.119999999999436,1569.76,892.192
10,2.0,573.1200000000006,5.119999999999436,1569.76,892.192
11,2.2,580.9600000000007,-4.547473508864641e-13,1547.0399999999997,890.3680000000002
12,2.4,580.9600000000007,-4.547473508864641e-13,1547.0399999999997,890.3680000000002
13,2.6,580.9600000000007,-4.547473508864641e-13,1547.0399999999997,890.3680000000002
14,2.8,580.9600000000007,-4.547473508864641e-13,1547.0399999999997,890.3680000000002
15,3.0,580.9600000000007,-4.547473508864641e-13,1547.0399999999997,890.3680000000002
16,3.2,580.9600000000007,1004.3199999999998,542.7199999999995,1693.8240000000005
17,3.4,580.9600000000007,1004.3199999999997,542.7199999999996,1693.8240000000003
18,3.6,580.9600000000007,1004.3199999999995,542.7199999999998,1693.824
19,3.8,580.9600000000007,1004.3199999999995,542.7199999999998,1693.824
20,4.0,580.9600000000007,1004.3199999999995,542.7199999999998,1693.824
21,4.2,525.7600000000002,0.0,386.2399999999998,603.0080000000002
22,4.4,525.7600000000002,0.0,386.2399999999998,603.0080000000002
23,4.6,525.7600000000002,0.0,386.2399999999998,603.0080000000002
24,4.8,525.7600000000002,0.0,386.2399999999998,603.0080000000002
25,5.0,525.7600000000002,0.0,386.2399999999998,603.0080000000002
26,5.2,525.7600000000002,3.1999999999999886,383.0399999999998,605.5680000000002
27,5.4,525.7600000000002,3.199999999999932,383.03999999999985,605.5680000000001
28,5.6,525.7600000000002,3.199999999999932,383.03999999999985,605.5680000000001
29,5.8,525.7600000000002,3.199999999999932,383.03999999999985,605.5680000000001
30,6.0,525.7600000000002,3.199999999999932,383.03999999999985,605.5680000000001
31,6.2,532.0,1.1368683772161603e-13,371.9999999999999,606.4000000000001
32,6.4,532.0,1.1368683772161603e-13,371.9999999999999,606.4000000000001
33,6.6,532.0,1.1368683772161603e-13,371.9999999999999,606.4000000000001
34,6.8,532.0,1.1368683772161603e-13,371.9999999999999,606.4000000000001
35,7.0,532.0,1.1368683772161603e-13,371.9999999999999,606.4000000000001
36,7.2,532.0,3.200000000000159,368.79999999999984,608.9600000000002
37,7.4,532.0,3.200000000000159,368.79999999999984,608.9600000000002
38,7.6,532.0,3.200000000000159,368.79999999999984,608.9600000000002
39,7.8,532.0,3.200000000000159,368.79999999999984,608.9600000000002
40,8.0,532.0,3.200000000000159,368.79999999999984,608.9600000000002
41,8.2,516.9600000000002,0.0,359.03999999999985,588.7680000000001
42,8.4,516.9600000000002,0.0,359.03999999999985,588.7680000000001
43,8.6,516.9600000000002,0.0,359.03999999999985,588.7680000000001
44,8.8,516.9600000000002,0.0,359.03999999999985,588.7680000000001
45,9.0,516.9600000000002,0.0,359.03999999999985,588.7680000000001
46,9.2,516.9600000000002,4.479999999999961,354.5599999999999,592.3520000000001
47,9.4,516.9600000000002,4.479999999999961,354.5599999999999,592.3520000000001
48,9.6,516.9600000000002,4.479999999999961,354.5599999999999,592.3520000000001
49,9.8,516.9600000000002,4.479999999999961,354.5599999999999,592.3520000000001
50,10.0,516.9600000000002,4.479999999999961,354.5599999999999,592.3520000000001
51,10.2,511.5200000000001,0.0,344.4799999999999,580.416
52,10.4,511.5200000000001,0.0,344.4799999999999,580.416
53,10.6,511.5200000000001,0.0,344.4799999999999,580.416
54,10.8,511.5200000000001,0.0,344.4799999999999,580.416
55,11.0,511.5200000000001,0.0,344.4799999999999,580.416
56,11.2,511.5200000000001,344.4799999999999,0.0,856.0
57,11.4,511.5200000000001,344.4799999999999,0.0,856.0
58,11.6,511.5200000000001,344.4799999999999,0.0,856.0
59,11.8,511.5200000000001,344.4799999999999,0.0,856.0
60,12.0,511.5200000000001,344.4799999999999,0.0,856.0
