element_number, cg_x, cg_y, cg_z, element_state, sensitivity_number, FI_max
1, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 0, 9.500679251780564e-10, 0
2, 3.0, 1.0000000000000002, 1.0000000000000002, 0, 9.869513276245971e-10, 0
19, 1.0000000000000002, 3.0000000000000004, 1.0000000000000002, 0, 1.3648925421288713e-09, 0
20, 3.0, 3.0000000000000004, 1.0000000000000002, 0, 1.4273473083424581e-09, 0
37, 1.0000000000000002, 5.000000000000001, 1.0000000000000002, 0, 1.7983098573256338e-09, 0
38, 3.0, 5.000000000000001, 1.0000000000000002, 0, 1.8601408071643401e-09, 0
60, 11.000000000000002, 7.000000000000001, 1.0000000000000002, 1, 0.00037196078731318937, 0
61, 13.0, 7.000000000000001, 1.0000000000000002, 1, 0.00040703316903453637, 0
62, 15.0, 7.000000000000001, 1.0000000000000002, 1, 0.0004662229682861002, 0
63, 17.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.0004886262469257501, 0
64, 19.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.00046960197718706726, 0
65, 21.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.0004155892019558191, 0
66, 23.0, 7.000000000000001, 1.0000000000000002, 1, 0.00033926268056738804, 0
67, 25.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.00025644324813003396, 0
68, 26.999999999999996, 7.000000000000001, 1.0000000000000002, 1, 0.00021624993159322038, 0
70, 31.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 7.354018119128054e-05, 0
71, 33.0, 7.000000000000001, 1.0000000000000002, 0, 4.517123342719984e-05, 0
72, 35.00000000000001, 7.000000000000001, 1.0000000000000002, 0, 8.023670985897966e-10, 0
78, 11.000000000000002, 9.000000000000002, 1.0000000000000002, 1, 0.00033542752730907906, 0
79, 13.0, 9.000000000000002, 1.0000000000000002, 1, 0.0003653575562904804, 0
80, 15.0, 9.000000000000002, 1.0000000000000002, 1, 0.000406146982629412, 0
81, 17.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.00041901119979940185, 0
82, 19.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.0003970440729801633, 0
83, 21.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.00034701000896301265, 0
84, 23.0, 9.000000000000002, 1.0000000000000002, 1, 0.000284085701260417, 0
85, 25.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.00022313438741802062, 0
86, 26.999999999999996, 9.000000000000002, 1.0000000000000002, 1, 0.0001890891276018716, 0
