element_number, cg_x, cg_y, cg_z, element_state, sensitivity_number, FI_max
1, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 0, 1.1313581182772829e-09, 0
2, 3.0, 1.0000000000000002, 1.0000000000000002, 0, 1.19702140681479e-09, 0
19, 1.0000000000000002, 3.0000000000000004, 1.0000000000000002, 0, 1.705376701294799e-09, 0
20, 3.0, 3.0000000000000004, 1.0000000000000002, 0, 1.7756996812189882e-09, 0
37, 1.0000000000000002, 5.000000000000001, 1.0000000000000002, 0, 2.3029745954327638e-09, 0
38, 3.0, 5.000000000000001, 1.0000000000000002, 0, 2.3728732101407546e-09, 0
60, 11.000000000000002, 7.000000000000001, 1.0000000000000002, 1, 0.00048134943415865976, 0
61, 13.0, 7.000000000000001, 1.0000000000000002, 1, 0.0005188305485002907, 0
62, 15.0, 7.000000000000001, 1.0000000000000002, 1, 0.0005726495837473993, 0
63, 17.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.0005592582399670842, 0
64, 19.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.000472402274236731, 0
65, 21.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.00034852213612628167, 0
66, 23.0, 7.000000000000001, 1.0000000000000002, 1, 0.0002521532237298058, 0
67, 25.000000000000004, 7.000000000000001, 1.0000000000000002, 1, 0.00021820906304792303, 0
68, 26.999999999999996, 7.000000000000001, 1.0000000000000002, 1, 0.0002248790294150187, 0
70, 31.000000000000004, 7.000000000000001, 1.0000000000000002, 0, 1.0374895099883057e-09, 0
71, 33.0, 7.000000000000001, 1.0000000000000002, 0, 9.422343600298823e-10, 0
72, 35.00000000000001, 7.000000000000001, 1.0000000000000002, 0, 8.156684911795689e-10, 0
78, 11.000000000000002, 9.000000000000002, 1.0000000000000002, 1, 0.0004392725224573494, 0
79, 13.0, 9.000000000000002, 1.0000000000000002, 1, 0.00047611006247512785, 0
80, 15.0, 9.000000000000002, 1.0000000000000002, 1, 0.0005187824486588956, 0
81, 17.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.0005078264687120788, 0
82, 19.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.0004300078870111343, 0
83, 21.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.0003305247946025848, 0
84, 23.0, 9.000000000000002, 1.0000000000000002, 1, 0.00025909034068326536, 0
85, 25.000000000000004, 9.000000000000002, 1.0000000000000002, 1, 0.0002228091097203316, 0
86, 26.999999999999996, 9.000000000000002, 1.0000000000000002, 1, 0.00021512530539281885, 0
88, 31.000000000000004, 9.000000000000002, 1.0000000000000002, 0, 1.047050118497973e-09, 0
89, 33.0, 9.000000000000002, 1.0000000000000002, 0, 9.2184319017816e-10, 0
90, 35.00000000000001, 9.000000000000002, 1.0000000000000002, 0, 7.942543349217506e-10, 0
96, 11.000000000000002, 11.0, 1.0000000000000002, 1, 0.0003689706179775281, 0
97, 13.0, 11.0, 1.0000000000000002, 1, 0.000389685758999721, 0
98, 15.0, 11.0, 1.0000000000000002, 1, 0.00041538910018606496, 0
99, 17.000000000000004, 11.0, 1.0000000000000002, 1, 0.0004077166297086342, 0
100, 19.000000000000004, 11.0, 1.0000000000000002, 1, 0.0003450454720194412, 0
101, 21.000000000000004, 11.0, 1.0000000000000002, 1, 0.00026642244450478226, 0
102, 23.0, 11.0, 1.0000000000000002, 1, 0.0001765470173316963, 0
103, 25.000000000000004, 11.0, 1.0000000000000002, 1, 0.00015992265882997018, 0
104, 26.999999999999996, 11.0, 1.0000000000000002, 1, 0.00015425460001664666, 0
106, 31.000000000000004, 11.0, 1.0000000000000002, 0, 1.020407897172989e-09, 0
107, 33.0, 11.0, 1.0000000000000002, 0, 8.925210815889565e-10, 0
108, 35.00000000000001, 11.0, 1.0000000000000002, 0, 7.634166808755228e-10, 0
114, 11.000000000000002, 13.0, 1.0000000000000002, 1, 0.0002908825067720198, 0
115, 13.0, 13.0, 1.0000000000000002, 1, 0.00030185271493011025, 0
116, 15.0, 13.0, 1.0000000000000002, 1, 0.0003190408061534887, 0
117, 17.000000000000004, 13.0, 1.0000000000000002, 1, 0.00031616296760354453, 0
118, 19.000000000000004, 13.0, 1.0000000000000002, 1, 0.0002622318736322894, 0
119, 21.000000000000004, 13.0, 1.0000000000000002, 1, 0.00016919011524757374, 0
120, 23.0, 13.0, 1.0000000000000002, 0, 0.00012079871448205377, 0
121, 25.000000000000004, 13.0, 1.0000000000000002, 0, 7.756504474984116e-05, 0
122, 26.999999999999996, 13.0, 1.0000000000000002, 0, 7.225743095394989e-05, 0
124, 31.000000000000004, 13.0, 1.0000000000000002, 0, 9.601957279884633e-10, 0
125, 33.0, 13.0, 1.0000000000000002, 0, 8.669648387729447e-10, 0
126, 35.00000000000001, 13.0, 1.0000000000000002, 0, 7.735198199383453e-10, 0
132, 11.000000000000002, 14.999999999999998, 1.0000000000000002, 1, 0.00021795119610354286, 0
133, 13.0, 14.999999999999998, 1.0000000000000002, 1, 0.00022784433636425724, 0
134, 15.0, 14.999999999999998, 1.0000000000000002, 1, 0.00026012918253132686, 0
135, 17.000000000000004, 14.999999999999998, 1.0000000000000002, 1, 0.00025713874737542345, 0
136, 19.000000000000004, 14.999999999999998, 1.0000000000000002, 1, 0.00016608039268726984, 0
137, 21.000000000000004, 14.999999999999998, 1.0000000000000002, 0, 7.848923629548188e-05, 0
138, 23.0, 14.999999999999998, 1.0000000000000002, 0, 1.4282750921919508e-05, 0
139, 25.000000000000004, 14.999999999999998, 1.0000000000000002, 0, 1.7317391526816151e-09, 0
140, 26.999999999999996, 14.999999999999998, 1.0000000000000002, 0, 1.3957849557578002e-09, 0
