# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0002642992      	p                 	-1.9658515535e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9115820412e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0002892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.8061922580e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0002892992      	k                 	8.1137018542e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0097896304e-02	(9.6500022334e-02 4.2634083700e-02 1.9244572556e-01)	1
0.0002892992      	omega             	1.9990422953e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361626e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0002892992      	p                 	-1.9681972550e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9140304755e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0003142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	6.2514057399e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0003142992      	k                 	7.5753001011e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0114230606e-02	(9.6500022334e-02 4.2634083700e-02 1.9244572556e-01)	1
0.0003142992      	omega             	1.9989595765e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003142992      	p                 	-1.9731127409e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9161992938e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0003392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	6.6863874174e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0003392992      	k                 	7.1397182835e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0131869580e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0003392992      	omega             	1.9988768645e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003392992      	p                 	-1.9719863747e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9208031635e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0003642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	7.1112804964e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0003642992      	k                 	6.7852692698e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0151593589e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
